Transaction Number,Date,Description,Memo,Amount Debit,Amount Credit,Balance,Check Number,Fees
"20230831000000[-6:CST]*-14.44*0**XX3498 POS PURCHASE AT SQ *1+1 RESTAURA AMES IA 37185848 369364",08/31/2023,"XX3498 POS PURCHASE AT SQ *1+1 RESTAURA AMES IA 37185848 369364","",-14.44,,"28140.73",,0.00
"20230831000000[-6:CST]*-20.00*0**RESEARCH FEE",08/31/2023,"RESEARCH FEE","",-20.00,,"28155.17",,0.00
"20230831000000[-6:CST]*-1.40*0**SALES TAX",08/31/2023,"SALES TAX","",-1.40,,"28175.17",,0.00
"20230831000000[-6:CST]*37.86*501**CITY OF AMES PAYROLL XXXXX4201",08/31/2023,"CITY OF AMES PAYROLL XXXXX4201","",,37.86,"28176.57",,0.00
"20230830000000[-6:CST]*-7.50*0**XX3498 POS PURCHASE AT WILD WATER CAR W AMES IA 04089192 592747",08/30/2023,"XX3498 POS PURCHASE AT WILD WATER CAR W AMES IA 04089192 592747","",-7.50,,"28138.71",,0.00
"20230829000000[-6:CST]*-47.00*0**XX3498 POS WITHDRAWAL. HY VEE 1018 AMES IA 1 601640",08/29/2023,"XX3498 POS WITHDRAWAL. HY VEE 1018 AMES IA 1 601640","",-47.00,,"28146.21",,0.00
"20230824000000[-6:CST]*-99.44*0**CITY OF AMES UT BILL 002629810006826",08/24/2023,"CITY OF AMES UT BILL 002629810006826","",-99.44,,"28193.21",,0.00
"20230824000000[-6:CST]*-12.50*0**XX3498 POS WITHDRAWAL. MCDONALD'S M2021 AMES IA 81545316 459963",08/24/2023,"XX3498 POS WITHDRAWAL. MCDONALD'S M2021 AMES IA 81545316 459963","",-12.50,,"28292.65",,0.00
"20230823000000[-6:CST]*-155.06*0**FARMERS INS EFT PYMT mXXXXX5868",08/23/2023,"FARMERS INS EFT PYMT mXXXXX5868","",-155.06,,"28305.15",,0.00
"20230822000000[-6:CST]*-137.83*0**CITY OF AMES UT BILL 002819790003022",08/22/2023,"CITY OF AMES UT BILL 002819790003022","",-137.83,,"28460.21",,0.00
"20230822000000[-6:CST]*-23.00*0**XX3498 POS WITHDRAWAL. WHEATSFIELD COOP AMES IA 68087201 754206",08/22/2023,"XX3498 POS WITHDRAWAL. WHEATSFIELD COOP AMES IA 68087201 754206","",-23.00,,"28598.04",,0.00
"20230822000000[-6:CST]*-12.84*0**XX3498 POS WITHDRAWAL. HY VEE 1013 AMES IA 1 735559",08/22/2023,"XX3498 POS WITHDRAWAL. HY VEE 1013 AMES IA 1 735559","",-12.84,,"28621.04",,0.00
"20230821000000[-6:CST]*-7835.45*0**IOWA STATE UNIV. ACH PYMT 498061243W",08/21/2023,"IOWA STATE UNIV. ACH PYMT 498061243W","",-7835.45,,"28633.88",,0.00
"20230821000000[-6:CST]*-18.39*0**Alliant - IPL PAYMENT 0061467186",08/21/2023,"Alliant - IPL PAYMENT 0061467186","",-18.39,,"36469.33",,0.00
"20230821000000[-6:CST]*-58.79*0**XX3498 POS WITHDRAWAL. WAL-MART #749 AME S IA 600001 035274",08/21/2023,"XX3498 POS WITHDRAWAL. WAL-MART #749 AME S IA 600001 035274","",-58.79,,"36487.72",,0.00
"20230821000000[-6:CST]*-41.03*0**XX3498 POS WITHDRAWAL. WAL-MART #0749 AM ES IA 24074901 643426",08/21/2023,"XX3498 POS WITHDRAWAL. WAL-MART #0749 AM ES IA 24074901 643426","",-41.03,,"36546.51",,0.00
"20230821000000[-6:CST]*-41.00*0**XX3498 POS PURCHASE AT O DONNELL ACE HA AMES IA 71002463 713816",08/21/2023,"XX3498 POS PURCHASE AT O DONNELL ACE HA AMES IA 71002463 713816","",-41.00,,"36587.54",,0.00
"20230821000000[-6:CST]*-25.62*0**XX3498 POS WITHDRAWAL. WAL-MART #749 AME S IA 600001 010485",08/21/2023,"XX3498 POS WITHDRAWAL. WAL-MART #749 AME S IA 600001 010485","",-25.62,,"36628.54",,0.00
"20230821000000[-6:CST]*-7.80*0**XX3498 POS PURCHASE AT CULVERS OF AMES A MES IA 00731202 544635",08/21/2023,"XX3498 POS PURCHASE AT CULVERS OF AMES A MES IA 00731202 544635","",-7.80,,"36654.16",,0.00
"20230818000000[-6:CST]*-21.21*0**XX3498 POS WITHDRAWAL. WALGREENS 2719 G AMES IA 12108T22 106201",08/18/2023,"XX3498 POS WITHDRAWAL. WALGREENS 2719 G AMES IA 12108T22 106201","",-21.21,,"36661.96",,0.00
"20230817000000[-6:CST]*-24.60*0**CLUB FEES PLANET FIT 515-450-5351",08/17/2023,"CLUB FEES PLANET FIT 515-450-5351","",-24.60,,"36683.17",,0.00
"20230817000000[-6:CST]*-50.65*0**XX3498 POS WITHDRAWAL. HY VEE 1018 AMES IA 1 158689",08/17/2023,"XX3498 POS WITHDRAWAL. HY VEE 1018 AMES IA 1 158689","",-50.65,,"36707.77",,0.00
"20230817000000[-6:CST]*5.00*501**XX3498 CHECK DEPOSIT.. 405 5TH ST AMES I A IA000619 007800",08/17/2023,"XX3498 CHECK DEPOSIT.. 405 5TH ST AMES I A IA000619 007800","",,5.00,"36758.42",,0.00
"20230816000000[-6:CST]*-8.34*0**XX3498 POS WITHDRAWAL. MCDONALD'S M2045 AMES IA 81553413 067257",08/16/2023,"XX3498 POS WITHDRAWAL. MCDONALD'S M2045 AMES IA 81553413 067257","",-8.34,,"36753.42",,0.00
"20230815000000[-6:CST]*-309.44*0**VERIZON WIRELESS PAYMENTS 05885909720000 1",08/15/2023,"VERIZON WIRELESS PAYMENTS 05885909720000 1","",-309.44,,"36761.76",,0.00
"20230815000000[-6:CST]*-22.03*0**XX3498 POS PURCHASE AT O DONNELL ACE HA AMES IA 72001438 522503",08/15/2023,"XX3498 POS PURCHASE AT O DONNELL ACE HA AMES IA 72001438 522503","",-22.03,,"37071.20",,0.00
"20230814000000[-6:CST]*-23.29*0**XX3498 POS WITHDRAWAL. Wal-Mart Super C AMES IA 07490050 322607442017",08/14/2023,"XX3498 POS WITHDRAWAL. Wal-Mart Super C AMES IA 07490050 322607442017","",-23.29,,"37093.23",,0.00
"20230810000000[-6:CST]*-40.00*0**VENMO PAYMENT 1028704269663",08/10/2023,"VENMO PAYMENT 1028704269663","",-40.00,,"37116.52",,0.00
"20230809000000[-6:CST]*-37.60*0**XX3498 POS WITHDRAWAL. HY VEE 1013 AMES IA 1 582284",08/09/2023,"XX3498 POS WITHDRAWAL. HY VEE 1013 AMES IA 1 582284","",-37.60,,"37156.52",,0.00
"20230809000000[-6:CST]*-13.00*0**XX3498 POS PURCHASE AT O DONNELL ACE HA AMES IA 73000732 207540",08/09/2023,"XX3498 POS PURCHASE AT O DONNELL ACE HA AMES IA 73000732 207540","",-13.00,,"37194.12",,0.00
"20230808000000[-6:CST]*2.22*501**Interest paid",08/08/2023,"Interest paid","",,2.22,"37207.12",,0.00
"20230808000000[-6:CST]*-78.71*0**XX3498 POS WITHDRAWAL. HY VEE 1013 AMES IA 1 208919",08/08/2023,"XX3498 POS WITHDRAWAL. HY VEE 1013 AMES IA 1 208919","",-78.71,,"37204.90",,0.00
"20230807000000[-6:CST]*-2620.66*0**CHASE CREDIT CRD AUTOPAY 000000000340848",08/07/2023,"CHASE CREDIT CRD AUTOPAY 000000000340848","",-2620.66,,"37283.61",,0.00
"20230807000000[-6:CST]*-712.75*0**IBMC ACH PMTS XXXXXX2430",08/07/2023,"IBMC ACH PMTS XXXXXX2430","",-712.75,,"39904.27",,0.00
"20230807000000[-6:CST]*-30.00*0**XX3498 POS WITHDRAWAL. HY VEE 1018 AMES IA 1 038332",08/07/2023,"XX3498 POS WITHDRAWAL. HY VEE 1018 AMES IA 1 038332","",-30.00,,"40617.02",,0.00
"20230807000000[-6:CST]*-20.00*0**XX3498 POS PURCHASE AT SQ *ALLUVIAL BRE Ames IA 73604704 911365",08/07/2023,"XX3498 POS PURCHASE AT SQ *ALLUVIAL BRE Ames IA 73604704 911365","",-20.00,,"40647.02",,0.00
"20230804000000[-6:CST]*-6.93*0**XX3498 POS WITHDRAWAL. MCDONALD'S M2021 AMES IA 81545316 776999",08/04/2023,"XX3498 POS WITHDRAWAL. MCDONALD'S M2021 AMES IA 81545316 776999","",-6.93,,"40667.02",,0.00
"20230804000000[-6:CST]*257.96*501**DONNELLEY FINANC DIRECT DEP 928929017126 L5Z",08/04/2023,"DONNELLEY FINANC DIRECT DEP 928929017126 L5Z","",,257.96,"40673.95",,0.00
"20230803000000[-6:CST]*-25.19*0**XX3498 POS WITHDRAWAL. HY VEE 1018 AMES IA 1 012818",08/03/2023,"XX3498 POS WITHDRAWAL. HY VEE 1018 AMES IA 1 012818","",-25.19,,"40415.99",,0.00
"20230803000000[-6:CST]*-14.00*0**XX3498 POS WITHDRAWAL. HY VEE 1018 AMES IA 1 011719",08/03/2023,"XX3498 POS WITHDRAWAL. HY VEE 1018 AMES IA 1 011719","",-14.00,,"40441.18",,0.00
"20230803000000[-6:CST]*-8.52*0**XX3498 POS PURCHASE AT TACO BELL #30421 AMES IA 07092145 584775",08/03/2023,"XX3498 POS PURCHASE AT TACO BELL #30421 AMES IA 07092145 584775","",-8.52,,"40455.18",,0.00
"20230802000000[-6:CST]*-46.71*0**XX3498 POS PURCHASE AT SQ *WOK N ROLL Am es IA 67922260 287783",08/02/2023,"XX3498 POS PURCHASE AT SQ *WOK N ROLL Am es IA 67922260 287783","",-46.71,,"40463.70",,0.00
"20230802000000[-6:CST]*-25.91*0**XX3498 POS WITHDRAWAL. HY VEE 1013 AMES IA 1 360225",08/02/2023,"XX3498 POS WITHDRAWAL. HY VEE 1013 AMES IA 1 360225","",-25.91,,"40510.41",,0.00
"20230801000000[-6:CST]*-19.30*0**XX3498 POS WITHDRAWAL. HY VEE 1018 AMES IA 1 302157",08/01/2023,"XX3498 POS WITHDRAWAL. HY VEE 1018 AMES IA 1 302157","",-19.30,,"40536.32",,0.00
"20230801000000[-6:CST]*-13.00*0**XX3498 POS WITHDRAWAL. HY VEE 1018 AMES IA 1 299936",08/01/2023,"XX3498 POS WITHDRAWAL. HY VEE 1018 AMES IA 1 299936","",-13.00,,"40555.62",,0.00
"20230731000000[-6:CST]*-24.73*0**Alliant - IPL PAYMENT 3836938783",07/31/2023,"Alliant - IPL PAYMENT 3836938783","",-24.73,,"40568.62",,0.00
"20230731000000[-6:CST]*-48.46*0**XX3498 POS WITHDRAWAL. Wal-Mart Super C AMES IA 07490048 321134122907",07/31/2023,"XX3498 POS WITHDRAWAL. Wal-Mart Super C AMES IA 07490048 321134122907","",-48.46,,"40593.35",,0.00
"20230731000000[-6:CST]*-8.29*0**XX3498 POS PURCHASE AT NORTH GRAND CINE AMES IA 85052617 122049",07/31/2023,"XX3498 POS PURCHASE AT NORTH GRAND CINE AMES IA 85052617 122049","",-8.29,,"40641.81",,0.00
"20230728000000[-6:CST]*-802.00*0**DHS CSRU IOW DHS IOWDHS013089124",07/28/2023,"DHS CSRU IOW DHS IOWDHS013089124","",-802.00,,"40650.10",,0.00
"20230728000000[-6:CST]*-0.29*0**DHS CSRU conv fee IOWDHS013089125",07/28/2023,"DHS CSRU conv fee IOWDHS013089125","",-0.29,,"41452.10",,0.00
"20230728000000[-6:CST]*-38.30*0**XX3498 POS WITHDRAWAL. Wal-Mart Super C AMES IA 07490044 320989612888",07/28/2023,"XX3498 POS WITHDRAWAL. Wal-Mart Super C AMES IA 07490044 320989612888","",-38.30,,"41452.39",,0.00
"20230727000000[-6:CST]*-92.79*0**CITY OF AMES UT BILL 002629810006826",07/27/2023,"CITY OF AMES UT BILL 002629810006826","",-92.79,,"41490.69",,0.00
"20230727000000[-6:CST]*-76.58*0**XX3498 POS WITHDRAWAL. WAL-MART #0749 AM ES IA 24074901 144657",07/27/2023,"XX3498 POS WITHDRAWAL. WAL-MART #0749 AM ES IA 24074901 144657","",-76.58,,"41583.48",,0.00
"20230726000000[-6:CST]*-20.09*0**Alliant - IPL PAYMENT 0061467186",07/26/2023,"Alliant - IPL PAYMENT 0061467186","",-20.09,,"41660.06",,0.00
"20230726000000[-6:CST]*-20.00*0**XX3498 POS PURCHASE AT SPORTSMANS LOUNG Ames IA 20819588 090637",07/26/2023,"XX3498 POS PURCHASE AT SPORTSMANS LOUNG Ames IA 20819588 090637","",-20.00,,"41680.15",,0.00
"20230725000000[-6:CST]*-44.54*0**XX3498 POS WITHDRAWAL. Wal-Mart Super C AMES IA 07490047 320684321560",07/25/2023,"XX3498 POS WITHDRAWAL. Wal-Mart Super C AMES IA 07490047 320684321560","",-44.54,,"41700.15",,0.00
"20230725000000[-6:CST]*-7.00*0**XX3498 POS PURCHASE AT O DONNELL ACE HA AMES IA 78002682 191808",07/25/2023,"XX3498 POS PURCHASE AT O DONNELL ACE HA AMES IA 78002682 191808","",-7.00,,"41744.69",,0.00
"20230724000000[-6:CST]*-155.11*0**FARMERS INS EFT PYMT mXXXXX5868",07/24/2023,"FARMERS INS EFT PYMT mXXXXX5868","",-155.11,,"41751.69",,0.00
"20230724000000[-6:CST]*-146.72*0**CITY OF AMES UT BILL 002819790003022",07/24/2023,"CITY OF AMES UT BILL 002819790003022","",-146.72,,"41906.80",,0.00
"20230724000000[-6:CST]*-136.89*0**XX3498 POS WITHDRAWAL. HY VEE 1018 AMES IA 1 568337",07/24/2023,"XX3498 POS WITHDRAWAL. HY VEE 1018 AMES IA 1 568337","",-136.89,,"42053.52",,0.00
"20230724000000[-6:CST]*-25.00*0**XX3498 POS PURCHASE AT SQ *ACPS Ames IA 86707234 280958",07/24/2023,"XX3498 POS PURCHASE AT SQ *ACPS Ames IA 86707234 280958","",-25.00,,"42190.41",,0.00
"20230724000000[-6:CST]*-9.28*0**XX3498 POS WITHDRAWAL. BP#1988898RUTHV RUTHVEN IA 57114801 500589",07/24/2023,"XX3498 POS WITHDRAWAL. BP#1988898RUTHV RUTHVEN IA 57114801 500589","",-9.28,,"42215.41",,0.00
"20230724000000[-6:CST]*-200.00*0**Miscellaneous Debit",07/24/2023,"Miscellaneous Debit","",-200.00,,"42224.69",,0.00
"20230721000000[-6:CST]*-89.69*0**XX3498 POS WITHDRAWAL. SUNSHINE FOODS MI LFORD IA 48175301 201398",07/21/2023,"XX3498 POS WITHDRAWAL. SUNSHINE FOODS MI LFORD IA 48175301 201398","",-89.69,,"42424.69",,0.00
"20230721000000[-6:CST]*-26.49*0**XX3498 POS WITHDRAWAL. WAL-MART #749 AME S IA 600001 011386",07/21/2023,"XX3498 POS WITHDRAWAL. WAL-MART #749 AME S IA 600001 011386","",-26.49,,"42514.38",,0.00
"20230720000000[-6:CST]*-45.16*0**XX3498 POS WITHDRAWAL. HY VEE 1018 AMES IA 1 905968",07/20/2023,"XX3498 POS WITHDRAWAL. HY VEE 1018 AMES IA 1 905968","",-45.16,,"42540.87",,0.00
"20230720000000[-6:CST]*-22.46*0**XX3498 POS PURCHASE AT O DONNELL ACE HA AMES IA 79001647 207495",07/20/2023,"XX3498 POS PURCHASE AT O DONNELL ACE HA AMES IA 79001647 207495","",-22.46,,"42586.03",,0.00
"20230720000000[-6:CST]*-7.80*0**XX3498 POS PURCHASE AT CULVERS OF AMES A MES IA 00600940 213831",07/20/2023,"XX3498 POS PURCHASE AT CULVERS OF AMES A MES IA 00600940 213831","",-7.80,,"42608.49",,0.00
"20230719000000[-6:CST]*-13.25*0**XX3498 POS WITHDRAWAL. HY VEE 1018 AMES IA 1 597346",07/19/2023,"XX3498 POS WITHDRAWAL. HY VEE 1018 AMES IA 1 597346","",-13.25,,"42616.29",,0.00
"20230718000000[-6:CST]*-72.23*0**XX3498 POS WITHDRAWAL. WAL-MART #749 AME S IA 600001 006932",07/18/2023,"XX3498 POS WITHDRAWAL. WAL-MART #749 AME S IA 600001 006932","",-72.23,,"42629.54",,0.00
"20230718000000[-6:CST]*-3.04*0**XX3498 POS WITHDRAWAL. WHEATSFIELD COOP AMES IA 68087201 039534",07/18/2023,"XX3498 POS WITHDRAWAL. WHEATSFIELD COOP AMES IA 68087201 039534","",-3.04,,"42701.77",,0.00
"20230717000000[-6:CST]*-24.60*0**CLUB FEES PLANET FIT 515-450-5351",07/17/2023,"CLUB FEES PLANET FIT 515-450-5351","",-24.60,,"42704.81",,0.00
"20230717000000[-6:CST]*-14.00*0**XX3498 POS PURCHASE AT CLATSOP COUNTY H ASTORIA OR 10000183 939915",07/17/2023,"XX3498 POS PURCHASE AT CLATSOP COUNTY H ASTORIA OR 10000183 939915","",-14.00,,"42729.41",,0.00
"20230714000000[-6:CST]*-25.00*0**XX3498 ATM WITHDRAWAL. 730 Bond St Suite B Astoria OR GM043083 004760",07/14/2023,"XX3498 ATM WITHDRAWAL. 730 Bond St Suite B Astoria OR GM043083 004760","",-25.00,,"42743.41",,0.00
"20230714000000[-6:CST]*-3.00*0**ATM WITHDRAWAL FEE XX3498 ATM WITHDRAWAL . 730 Bond St Suite B Astoria OR GM0430",07/14/2023,"ATM WITHDRAWAL FEE XX3498 ATM WITHDRAWAL . 730 Bond St Suite B Astoria OR GM0430","",-3.00,,"42768.41",,0.00
"20230713000000[-6:CST]*-298.80*0**VERIZON WIRELESS PAYMENTS 05885909720000 1",07/13/2023,"VERIZON WIRELESS PAYMENTS 05885909720000 1","",-298.80,,"42771.41",,0.00
"20230713000000[-6:CST]*-22.48*0**Alliant - IPL PAYMENT 3836938783",07/13/2023,"Alliant - IPL PAYMENT 3836938783","",-22.48,,"43070.21",,0.00
"20230711000000[-6:CST]*2.56*501**Interest paid",07/11/2023,"Interest paid","",,2.56,"43092.69",,0.00
"20230711000000[-6:CST]*-80.55*0**ASPEN WASTE SYST EFT PMT 8 00257691",07/11/2023,"ASPEN WASTE SYST EFT PMT 8 00257691","",-80.55,,"43090.13",,0.00
"20230710000000[-6:CST]*-16.15*0**XX3498 POS PURCHASE AT DENVER AIRPORT DE NVER CO 69880906 835910",07/10/2023,"XX3498 POS PURCHASE AT DENVER AIRPORT DE NVER CO 69880906 835910","",-16.15,,"43170.68",,0.00
"20230710000000[-6:CST]*-5.52*0**XX3498 POS PURCHASE AT KATE'S CUP CLARKSTON WA 02000200 155214",07/10/2023,"XX3498 POS PURCHASE AT KATE'S CUP CLARKSTON WA 02000200 155214","",-5.52,,"43186.83",,0.00
"20230707000000[-6:CST]*-15.79*0**XX3498 POS PURCHASE AT Taza Mediterrane Ames IA 13492545 420067",07/07/2023,"XX3498 POS PURCHASE AT Taza Mediterrane Ames IA 13492545 420067","",-15.79,,"43192.35",,0.00
"20230706000000[-6:CST]*-1793.23*0**CHASE CREDIT CRD AUTOPAY 000000000177222",07/06/2023,"CHASE CREDIT CRD AUTOPAY 000000000177222","",-1793.23,,"43208.14",,0.00
"20230706000000[-6:CST]*-24.00*0**XX3498 POS PURCHASE AT SQ *THE ANGRY IR AMES IA 36844497 572368",07/06/2023,"XX3498 POS PURCHASE AT SQ *THE ANGRY IR AMES IA 36844497 572368","",-24.00,,"45001.37",,0.00
"20230706000000[-6:CST]*-19.45*0**XX3498 POS WITHDRAWAL. HY VEE CLINIC 30 AMES IA 1 633170",07/06/2023,"XX3498 POS WITHDRAWAL. HY VEE CLINIC 30 AMES IA 1 633170","",-19.45,,"45025.37",,0.00
"20230706000000[-6:CST]*350.00*501**XX3498 CHECK DEPOSIT.. 405 5TH ST AMES I A IA000619 007015",07/06/2023,"XX3498 CHECK DEPOSIT.. 405 5TH ST AMES I A IA000619 007015","",,350.00,"45044.82",,0.00
"20230705000000[-6:CST]*-712.75*0**IBMC ACH PMTS XXXXXX2430",07/05/2023,"IBMC ACH PMTS XXXXXX2430","",-712.75,,"44694.82",,0.00
"20230705000000[-6:CST]*-71.85*0**XX3498 POS WITHDRAWAL. HY VEE 1013 AMES IA 1 008134",07/05/2023,"XX3498 POS WITHDRAWAL. HY VEE 1013 AMES IA 1 008134","",-71.85,,"45407.57",,0.00
"20230705000000[-6:CST]*-43.82*0**XX3498 POS WITHDRAWAL. MNRD-AMES 700 SE AMES IA 35335604 952981",07/05/2023,"XX3498 POS WITHDRAWAL. MNRD-AMES 700 SE AMES IA 35335604 952981","",-43.82,,"45479.42",,0.00
"20230705000000[-6:CST]*-11.64*0**XX3498 POS WITHDRAWAL. LOWE'S #581 AMES IA 001 185115",07/05/2023,"XX3498 POS WITHDRAWAL. LOWE'S #581 AMES IA 001 185115","",-11.64,,"45523.24",,0.00
"20230703000000[-6:CST]*-25.00*0**XX3498 POS PURCHASE AT SQ *ACPS Ames IA 63360526 816106",07/03/2023,"XX3498 POS PURCHASE AT SQ *ACPS Ames IA 63360526 816106","",-25.00,,"45534.88",,0.00
"20230703000000[-6:CST]*-15.00*0**XX3498 POS PURCHASE AT GOODWILL AMES AME S IA 99700271 593954",07/03/2023,"XX3498 POS PURCHASE AT GOODWILL AMES AME S IA 99700271 593954","",-15.00,,"45559.88",,0.00
"20230630000000[-6:CST]*-45.00*0**XX3498 POS PURCHASE AT SQ *LONDON UNDER Ames IA 09591435 092593",06/30/2023,"XX3498 POS PURCHASE AT SQ *LONDON UNDER Ames IA 09591435 092593","",-45.00,,"45574.88",,0.00
"20230630000000[-6:CST]*-18.63*0**XX3498 POS WITHDRAWAL. KUMGO 1215R AME AMES IA 001 533934",06/30/2023,"XX3498 POS WITHDRAWAL. KUM&GO 1215R AME AMES IA 001 533934","",-18.63,,"45619.88",,0.00
"20230630000000[-6:CST]*-10.35*0**XX3498 POS PURCHASE AT SQ *CORNBRED BAR Ames IA 14100378 176587",06/30/2023,"XX3498 POS PURCHASE AT SQ *CORNBRED BAR Ames IA 14100378 176587","",-10.35,,"45638.51",,0.00
"20230629000000[-6:CST]*-4000.00*1*1045*Check",06/29/2023,"Check","",-4000.00,,"45648.86",1045,0.00
"20230629000000[-6:CST]*-16.00*0**XX3498 POS PURCHASE AT SQ *THE ANGRY IR Ames IA 28294924 014526",06/29/2023,"XX3498 POS PURCHASE AT SQ *THE ANGRY IR Ames IA 28294924 014526","",-16.00,,"49648.86",,0.00
"20230628000000[-6:CST]*-4.40*0**XX3498 POS PURCHASE AT THE ROASTERIE AME S IA 00400775 974832",06/28/2023,"XX3498 POS PURCHASE AT THE ROASTERIE AME S IA 00400775 974832","",-4.40,,"49664.86",,0.00
"20230627000000[-6:CST]*-58.72*0**CITY OF AMES UT BILL 002629810006826",06/27/2023,"CITY OF AMES UT BILL 002629810006826","",-58.72,,"49669.26",,0.00
"20230627000000[-6:CST]*-38.00*0**XX3498 POS WITHDRAWAL. WAL-MART #0749 AM ES IA 24074901 611350",06/27/2023,"XX3498 POS WITHDRAWAL. WAL-MART #0749 AM ES IA 24074901 611350","",-38.00,,"49727.98",,0.00
"20230627000000[-6:CST]*-17.11*0**XX3498 POS WITHDRAWAL. FAREWAY STORES # AMES IA 92405501 674900",06/27/2023,"XX3498 POS WITHDRAWAL. FAREWAY STORES # AMES IA 92405501 674900","",-17.11,,"49765.98",,0.00
"20230626000000[-6:CST]*-21.00*0**XX3498 POS PURCHASE AT THE SALVATION AR AMES IA 60744968 638433",06/26/2023,"XX3498 POS PURCHASE AT THE SALVATION AR AMES IA 60744968 638433","",-21.00,,"49783.09",,0.00
